,Title,Body,Title + Body,Actual,Predicted Cat
0,Commercial/Business LED Sign,"This is a double-face cabinet sign with a black aluminum frame and acrylic faces. This sign is internally illuminted with LEDs. This sign is manufactured by Casco Signs and made in the USA.It was previously used by a church that is currently being sold and has no further use. It is in great condition and the acrylic faces are completely reusable and customizable. The original unit price for this internally-lit sign with double acrylic faces the was $2,862.68. Since it is in excellent condition, $2000 is a fair price considering its quality and versatility in commercial use. Best offers will be considered for serious buyers. *************************** NOTE: CASH ONLY & PICKUP BY BUYER *******************************","commercial/busi led signthi double-fac cabinet sign black aluminum frame acryl faces. sign intern illumint leds. sign manufactur casco sign made usa.it previous use church current sold use. great condit acryl face complet reusabl customizable. origin unit price internally-lit sign doubl acryl face $2,862.68. sinc excel condition, $2000 fair price consid qualiti versatil commerci use. best offer consid seriou buyers. *************************** note: cash & pickup buyer *******************************",Others,Others
1,6 ft. Werner ladder with 250 lb capacity,A+aluminum 6 foot ladder with fiberglass top and paint shelf and rated for 250 pounds and in excellent condition! Text me at  show contact info for pictures. This one is rated for 250 pounds and in excellent condition and has the blue tray and top made of fiberglass and rest of ladders is aluminum. Super ladder with no defects in excellent condition. I live in Monroe. The others are sold except for one rated for 225 pounds and it is $45 and in excellent condition also.  Looking for home owners or painters or electricians that need 6 foot ladders in excellent condition and this is what I have.                                                                                             ,6 ft. werner ladder 250 lb capacitya+aluminum 6 foot ladder fiberglass top paint shelf rate 250 pound excel condition! text show contact info pictures. one rate 250 pound excel condit blue tray top made fiberglass rest ladder aluminum. super ladder defect excel condition. live monroe. other sold except one rate 225 pound $45 excel condit also. look home owner painter electrician need 6 foot ladder excel condit have.,Others,Others
2,"20"" handmade  michigan cedar wreaths",These wreaths are beautiful.  Many bow styles to choose from. May consider a bulk discount.  These wreaths sell for 55 at craft shows!!!,"20"" handmad michigan cedar wreathsthes wreath beautiful. mani bow style choos from. may consid bulk discount. wreath sell 55 craft shows!!!",Others,Others
3,Seasoned maple firewood - burns hot!,"This is a longer stack of seasoned maple firewood.We cut and split it during the spring of 2022.All pieces are 18 inches long.These are nice straight pieces with no bad spots.They are elevated from the ground and have been covered since their stackingThe whole stack is for sale at $65 CASH.I will gladly help you load it.Richfield is easy to find on Highway 49, just 28 miles east of the UNCC main entrance.","season mapl firewood - burn hot!thi longer stack season mapl firewood.w cut split spring 2022.all piec 18 inch long.thes nice straight piec bad spots.they elev ground cover sinc stackingth whole stack sale $65 cash.i gladli help load it.richfield easi find highway 49, 28 mile east uncc main entrance.",Others,Others
4,Mini Bike - Trailmaster MB200,"These are $1399 new at https://www.gopowersports.com/trailmaster-mb200-2-minibike/ Photos of my bike available upon text request onlySingle Cylinder, 196cc, 4-Stroke, OHVRecoil Cord StartAir cooledFront HeadlightChain DriveTorque ConverterFront Fork shocks and Hydraulic RearOversized low pressure tiresRear Brakes are Hydraulic DiscMy kids don't ride it anymore so it needs a new home!$900 firmPlease text me at:  7 O four 9 ate 4 2 two 7 seven (number shown like that to help reduce issues with scammers)Thank you for looking - have a blessed day!go cart kart go-cart go-kart mini bike bikes minibikes minibike kid kids christmas trail master bicycle motor tire video game console remote nintendo xbox x-box x box playstation station fun scooter scooters dirtbike dirt karts carts gift gifts santa get outside and play","mini bike - trailmast mb200these $1399 new https://www.gopowersports.com/trailmaster-mb200-2-minibike/ photo bike avail upon text request onlysingl cylinder, 196cc, 4-stroke, ohvrecoil cord startair cooledfront headlightchain drivetorqu converterfront fork shock hydraul rearovers low pressur tiresrear brake hydraul discmi kid ride anymor need new home!$900 firmpleas text at: 7 four 9 ate 4 2 two 7 seven (number shown like help reduc issu scammers)thank look - bless day!go cart kart go-cart go-kart mini bike bike minibik minibik kid kid christma trail master bicycl motor tire video game consol remot nintendo xbox x-box x box playstat station fun scooter scooter dirtbik dirt kart cart gift gift santa get outsid play",Others,Others
5,Hanging light fixture for hallway - from mid 1980s,"This is a mid-80s ceiling light fixture.It is from Plantation Lighting, Inc. of Smyrna, Georgia.It was hanging in the hallway or foyer of my daughter's 1985 house in Durham, NC.The box area measures 6 1/4"" by 6 1/4 inches by 5 inches tall.At the very most, the fixture hangs down 17 1/2 inches from the ceiling.The chain and the power cord can be shortened to raise the hanging fixture.One pane of glass has a vertical crack in it but is not very obvious.The price of the hanging light fixture is $10 cash.Richfield is easy to find on Highway 49, just 28 miles east of the UNCC main entrance.","hang light fixtur hallway - mid 1980sthi mid-80 ceil light fixture.it plantat lighting, inc. smyrna, georgia.it hang hallway foyer daughter' 1985 hous durham, nc.the box area measur 6 1/4"" 6 1/4 inch 5 inch tall.at most, fixtur hang 17 1/2 inch ceiling.th chain power cord shorten rais hang fixture.on pane glass vertic crack obvious.th price hang light fixtur $10 cash.richfield easi find highway 49, 28 mile east uncc main entrance.",Others,Others
6,Disney Frozen Scooter,"Disney Frozen Scooter For sale is a used good condition Disney Frozen Scooter.  Everything works and the windshield lights up and it plays music. I’m in HUNTERSVILLE (zipcode 28078) and I can meet you atMcDonald's near I77 exit 18 or 485 exit 21 - 9414 Northlake West Dr, Charlotte 28216 or McDonald's near I77 exit 23 - 14220 Boren St, Huntersville, NC 28078 or McDonald's near I77 exit 25 - 16834 Statesville Rd, Huntersville, NC 28078 or McDonald's near I77 exit 28 - 20500 Torrence Chapel Rd, Cornelius, NC 28031 or McDonald's near 485 exit 23 & hiway115 - 10249 Cane Creek Drive; Huntersville, NC 28078.In your response please let me know when and where you want to meet. Cash only please. Cross posted to various online sites. No trades or holds please. PAEWAN","disney frozen scooterdisney frozen scooter sale use good condit disney frozen scooter. everyth work windshield light play music. i’m huntersvil (zipcod 28078) meet atmcdonald' near i77 exit 18 485 exit 21 - 9414 northlak west dr, charlott 28216 mcdonald' near i77 exit 23 - 14220 boren st, huntersville, nc 28078 mcdonald' near i77 exit 25 - 16834 statesvil rd, huntersville, nc 28078 mcdonald' near i77 exit 28 - 20500 torrenc chapel rd, cornelius, nc 28031 mcdonald' near 485 exit 23 & hiway115 - 10249 cane creek drive; huntersville, nc 28078.in respons pleas let know want meet. cash please. cross post variou onlin sites. trade hold please. paewan",Others,Others
7,Nighthawk Two-in-one Cable Modem +WiFi Router,AC1900 WiFi Cable Modem Router (C7000)Nighthawk® DOCSIS® 3.0 1.9Gbps Two-in-one Cable Modem +WiFi Routerhttps://www.netgear.com/home/wifi/modem-routers/c7000/Will take best offer,nighthawk two-in-on cabl modem +wifi routerac1900 wifi cabl modem router (c7000)nighthawk® docsis® 3.0 1.9gbp two-in-on cabl modem +wifi routerhttps://www.netgear.com/home/wifi/modem-routers/c7000/wil take best offer,Others,Others
8,Used: Stihl MS 290 Chainsaw,"PRODUCT INFO:Stihl MS 290 Chainsaw. Runs great, fully serviced. Used condition with dings and scratches. Starts and runs good. Normal wear from use, not abused. Please see photos for details and condition. Thanks for looking📞 (704) 893-2878If you are interested in this product or want to know more about our inventory, call us.ABOUT US:🛠Serving Customers for OVER 25 YEARS🛠💲WE BEAT ANY PRICE💲🛠Highly Recognized and Trusted as a TOP supplier of Outdoor Power Equipment🛠⭐4.8 stars on Google with 1k reviews⭐🛠HABLAMOS ESPAÑOL🛠FAMILY OWNED🛠Professional and Knowledgeable Sales and Service Teams🛠All Sales are Pre-Inspected to ensure TOP QUALITY🛠All Products are Assembled IN STORE📅 Our business hours are Weekdays 7am – 6pm and Saturdays 8am – 5pm. We are closed on Sundays.INTERSTATE SUPPLIES AND SERVICES511 UNION WEST BLVD. STALLINGS, NCDo Everything in ONE STOP 🛑 We Offer SALES of Both PARTS and UNITS, and We have an IN-HOUSE SERVICE Shop!We are your destination for ANY Outdoor Power Equipment need. We offer SALES, PARTS, & SERVICE! Check out our huge selection of mowers, trimmers, blowers, pressure washers and MORE...TOP BRANDS:☑Exmark☑Wright☑Echo☑Ferris☑Spartan Mowers☑Greenworks Commercial☑BradleyTOP PRODUCTS:☑Mowers☑Mower Blades☑Pressure Washers☑Chainsaws☑Arborist Climbing Gear☑AeratorsWe are active on Facebook [Interstate Supplies and Services], Instagram [@interstatesuppliesnc] and Twitter [@issstallingsnc].Tags:Tagalong, skid, steer, skid steer, bobcat, Deere, case, cat, Gehl, Kubota, new, holland, compact, track, loader, CTL, tax, deduction, finance, low, payments, Mahindra, grading, equipment, kioti, ls, Massey, Takeuchi, john, tractor, Toro, Scag, Hustler, Exmark, Great, Dane, Cub, Ferris, Stand On, Wright, Stihl, Echo, Shindaiwa, Maruyama, Cadet, Trailer, Landscape, Walk behind, Rider, Yard, Tractor, Zero Turn, Velke, Dual, john, tractor, Husqvarna, mower, zero, turn, lawn mower, grass, Exmark, bobcat, simplicity, craftsman, great, Dane, Ferris, bad, boy, 4wd, 2wd, universal, ztr, yard, poulan pro, john Deere, Kubota, Massey, international, walk behind, riders, walk mowers, stand up, aerators, tillers, grapple EMAX22S, GEAR, EMAX22S HST, MAX26XL, SHUTTLE, MAX, 26XL, HST, SST, 1626, 4540, 4550, 1635, 1526 HST, 1533, 2538 HST, 2545, 2555, Emax20, Emax22L Gear, Emax22L HST, Max25XL HST, Max26XLT Shuttle, Max26XLT HST, 1626 Shuttle, 1626 HST, 1626Shuttle TLB, 1626 HST TLB, 1640, 2638, 4540Tractor, HP, New Holland, Bob Cat, Bobcat, John Deere, Case, Farm tractors, Compact tractors, Cat, Lawnmower, Caterpillar, JCB, Yanmar, Terex, Kobelco, Gehl, Kubota, Ford, Kioti, lS, Massey, Ferguson, Takeuchi, Bush Hog, tractor, implement, compact, sub-compact, utility, sub, compact, sub, Rake, Bailer, smith turf, lay of the land, Carolina mower, Whitley, 321 mower 4wd, 2wd, 4X4, 8X8, 12X12, aerator, tillers, grapple, rotary mower, rotary cutter, bucket, loader, backhoe, attachments, ROPS, Cab, Forks, implement, tedder, hay, bine, discbine, disc mower, box, scrape, boxscraper, finish, finish mower, post hole, plugger, hydro, hydrostatic, Shuttle, Clutch, tax deduction, finance, low payments, approved, credit, 4x4 tractor, 4x4, loader, Farm, chainsaw, trimmer, battery blower, battery trimmer, hedge, String trimmer, backpack blower, Cargo trailer, enclosed trailer, motorcycle trailer, atv trailer, equipment trailer, equipment hauler, car hauler, closed utility trailer, open utility trailer, flatbed trailer, dump trailer, trailers, diamond c, Haulmark, , best trailer, aluminum trailer, steel trailer, tilt trailer, dexter axle, spring axle, covered trailer, concession trailer, north carolina, south carolina, Charlotte, Stallings, Matthews, Mint Hill, East Virginia, enclosed cargo trailer, porch trailer, interstate trailer, carry on trailer, stehl tow, Lark, Covered Wagon, hubs, brake backs, fenders, trailer bearings, trailer balls, trailer recievers, trailer hitches, roofing trailer dump trailer, Kawasaki, honda, kohler, briggs and Stratton, simplicity, snapper, zero turn mower, mtd, cub cadet, case, john deere, blades, belts, tires, stihl, echo, greenworks, Arborist, Climbing Gear, Arboriculture, Trees, Tamper, Compact Plate, Air Compressor, battery mower, battery hedge trimmer, battery leaf blower, battery string trimmer, Billy Goat, brushcutter, brush cutter, brush mower, orchard ladder, tripod ladder, adjustable ladder    ","used: stihl ms 290 chainsawproduct info:stihl ms 290 chainsaw. run great, fulli serviced. use condit ding scratches. start run good. normal wear use, abused. pleas see photo detail condition. thank looking📞 (704) 893-2878if interest product want know inventory, call us.about us:🛠serv custom 25 years🛠💲w beat price💲🛠highli recogn trust top supplier outdoor power equipment🛠⭐4.8 star googl 1k reviews⭐🛠hablamo español🛠famili owned🛠profession knowledg sale servic teams🛠al sale pre-inspect ensur top quality🛠al product assembl store📅 busi hour weekday 7am – 6pm saturday 8am – 5pm. close sundays.interst suppli services511 union west blvd. stallings, ncdo everyth one stop 🛑 offer sale part units, in-hous servic shop!w destin outdoor power equip need. offer sales, parts, & service! check huge select mowers, trimmers, blowers, pressur washer more...top brands:☑exmark☑wright☑echo☑ferris☑spartan mowers☑greenwork commercial☑bradleytop products:☑mowers☑mow blades☑pressur washers☑chainsaws☑arborist climb gear☑aeratorsw activ facebook [interst suppli services], instagram [@interstatesuppliesnc] twitter [@issstallingsnc].tags:tagalong, skid, steer, skid steer, bobcat, deere, case, cat, gehl, kubota, new, holland, compact, track, loader, ctl, tax, deduction, finance, low, payments, mahindra, grading, equipment, kioti, ls, massey, takeuchi, john, tractor, toro, scag, hustler, exmark, great, dane, cub, ferris, stand on, wright, stihl, echo, shindaiwa, maruyama, cadet, trailer, landscape, walk behind, rider, yard, tractor, zero turn, velke, dual, john, tractor, husqvarna, mower, zero, turn, lawn mower, grass, exmark, bobcat, simplicity, craftsman, great, dane, ferris, bad, boy, 4wd, 2wd, universal, ztr, yard, poulan pro, john deere, kubota, massey, international, walk behind, riders, walk mowers, stand up, aerators, tillers, grappl emax22s, gear, emax22 hst, max26xl, shuttle, max, 26xl, hst, sst, 1626, 4540, 4550, 1635, 1526 hst, 1533, 2538 hst, 2545, 2555, emax20, emax22l gear, emax22l hst, max25xl hst, max26xlt shuttle, max26xlt hst, 1626 shuttle, 1626 hst, 1626shuttl tlb, 1626 hst tlb, 1640, 2638, 4540tractor, hp, new holland, bob cat, bobcat, john deere, case, farm tractors, compact tractors, cat, lawnmower, caterpillar, jcb, yanmar, terex, kobelco, gehl, kubota, ford, kioti, ls, massey, ferguson, takeuchi, bush hog, tractor, implement, compact, sub-compact, utility, sub, compact, sub, rake, bailer, smith turf, lay land, carolina mower, whitley, 321 mower 4wd, 2wd, 4x4, 8x8, 12x12, aerator, tillers, grapple, rotari mower, rotari cutter, bucket, loader, backhoe, attachments, rops, cab, forks, implement, tedder, hay, bine, discbine, disc mower, box, scrape, boxscraper, finish, finish mower, post hole, plugger, hydro, hydrostatic, shuttle, clutch, tax deduction, finance, low payments, approved, credit, 4x4 tractor, 4x4, loader, farm, chainsaw, trimmer, batteri blower, batteri trimmer, hedge, string trimmer, backpack blower, cargo trailer, enclos trailer, motorcycl trailer, atv trailer, equip trailer, equip hauler, car hauler, close util trailer, open util trailer, flatb trailer, dump trailer, trailers, diamond c, haulmark, , best trailer, aluminum trailer, steel trailer, tilt trailer, dexter axle, spring axle, cover trailer, concess trailer, north carolina, south carolina, charlotte, stallings, matthews, mint hill, east virginia, enclos cargo trailer, porch trailer, interst trailer, carri trailer, stehl tow, lark, cover wagon, hubs, brake backs, fenders, trailer bearings, trailer balls, trailer recievers, trailer hitches, roof trailer dump trailer, kawasaki, honda, kohler, brigg stratton, simplicity, snapper, zero turn mower, mtd, cub cadet, case, john deere, blades, belts, tires, stihl, echo, greenworks, arborist, climb gear, arboriculture, trees, tamper, compact plate, air compressor, batteri mower, batteri hedg trimmer, batteri leaf blower, batteri string trimmer, billi goat, brushcutter, brush cutter, brush mower, orchard ladder, tripod ladder, adjust ladder",Others,Others
9,Hoverboard 1 green,For sale hover board 1 green with charger. Asking $50. More information call  show contact info,hoverboard 1 greenfor sale hover board 1 green charger. ask $50. inform call show contact info,Others,Others
10,Yogibo Bean Bag,"Yogibo Bean BagFor sale is a used large black very good condition Yogibo Bean Bag.  It’s about 56” long and you can remove the cover to wash it.  I’m in HUNTERSVILLE (zipcode 28078) and I can meet you atMcDonald's near I77 exit 18 or 485 exit 21 - 9414 Northlake West Dr, Charlotte 28216 or McDonald's near I77 exit 23 - 14220 Boren St, Huntersville, NC 28078 or McDonald's near I77 exit 25 - 16834 Statesville Rd, Huntersville, NC 28078 or McDonald's near I77 exit 28 - 20500 Torrence Chapel Rd, Cornelius, NC 28031 or McDonald's near 485 exit 23 & hiway115 - 10249 Cane Creek Drive; Huntersville, NC 28078.In your response please let me know when and where you want to meet. Cash only please. Cross posted to various online sites. No trades or holds please. PAEWAN","yogibo bean bagyogibo bean bagfor sale use larg black good condit yogibo bean bag. it’ 56” long remov cover wash it. i’m huntersvil (zipcod 28078) meet atmcdonald' near i77 exit 18 485 exit 21 - 9414 northlak west dr, charlott 28216 mcdonald' near i77 exit 23 - 14220 boren st, huntersville, nc 28078 mcdonald' near i77 exit 25 - 16834 statesvil rd, huntersville, nc 28078 mcdonald' near i77 exit 28 - 20500 torrenc chapel rd, cornelius, nc 28031 mcdonald' near 485 exit 23 & hiway115 - 10249 cane creek drive; huntersville, nc 28078.in respons pleas let know want meet. cash please. cross post variou onlin sites. trade hold please. paewan",Others,Others
11,GIRLS DESIGNER JEANS,7 for all mankind purple jeans-size 14Excellent condition,girl design jeans7 mankind purpl jeans-siz 14excel condit,Others,Others
